NT_GER,QE_I01,QE_I04,QE_I05,QE_I08,QE_I09,QE_I15
32.3,Solteiro(a),Fundamental I,Fundamental I,A,A,Sem Cotas
40.4,Solteiro(a),Fundamental I,Fundamental I,A,B,Sem Cotas
46.0,Solteiro(a),Fundamental I,Fundamental I,A,B,Sem Cotas
62.9,Solteiro(a),Fundamental II,Fundamental I,A,B,2 ou mais critérios
43.6,Solteiro(a),Fundamental I,Médio,A,A,2 ou mais critérios
32.3,Casado(a),Médio,Médio,A,E,Sem Cotas
44.8,Solteiro(a),Médio,Médio,B,A,Ensino Público
38.6,Solteiro(a),Fundamental I,Fundamental I,A,A,Sem Cotas
47.9,Solteiro(a),Nenhuma,Fundamental I,A,C,Étnico-racial
53.4,Casado(a),Superior,Médio,B,B,Renda
30.1,Solteiro(a),Fundamental I,Fundamental I,A,B,Renda
51.3,Solteiro(a),Médio,Médio,C,E,Renda
64.2,Casado(a),Médio,Fundamental I,B,F,Ensino Público
44.9,Solteiro(a),Fundamental II,Pós-graduação,C,E,Sem Cotas
34.7,Outro,Fundamental II,Médio,B,C,Sem Cotas
42.4,Solteiro(a),Médio,Médio,A,D,Ensino Público
57.3,Solteiro(a),Fundamental II,Fundamental I,A,A,2 ou mais critérios
61.2,Solteiro(a),Fundamental II,Fundamental II,A,B,Sem Cotas
35.5,Casado(a),Médio,Fundamental II,A,B,Sem Cotas
58.5,,,,,,
39.9,,,,,,
33.2,Solteiro(a),Nenhuma,Fundamental I,A,E,Ensino Público
38.1,Casado(a),Médio,Médio,C,D,Sem Cotas
34.4,Casado(a),Médio,Fundamental II,B,B,Ensino Público
57.5,Casado(a),Médio,Médio,C,F,Sem Cotas
33.4,Casado(a),Médio,Médio,C,C,Sem Cotas
52.8,Solteiro(a),Fundamental II,Médio,B,B,Ensino Público
26.0,,,,,,
46.3,Solteiro(a),Médio,Médio,A,B,Renda
60.4,Solteiro(a),Superior,Superior,C,E,Sem Cotas
34.1,Solteiro(a),Médio,Fundamental II,B,C,Sem Cotas
52.5,Solteiro(a),Fundamental I,Fundamental I,A,E,Sem Cotas
45.9,Solteiro(a),Médio,Superior,A,A,Sem Cotas
65.6,Solteiro(a),Fundamental I,Fundamental II,A,C,Sem Cotas
55.7,Solteiro(a),Médio,Pós-graduação,B,B,Sem Cotas
30.6,Casado(a),Fundamental I,Superior,A,B,Sem Cotas
28.6,Casado(a),Fundamental I,Fundamental II,D,E,Sem Cotas
46.2,Solteiro(a),Nenhuma,Nenhuma,B,E,Sem Cotas
30.5,Casado(a),Fundamental I,Pós-graduação,C,C,Sem Cotas
25.6,Casado(a),Nenhuma,Nenhuma,B,A,Ensino Público
34.4,Casado(a),Médio,Médio,A,B,Ensino Público
62.0,Solteiro(a),Fundamental I,Fundamental I,A,D,Sem Cotas
13.2,Solteiro(a),Fundamental I,Fundamental I,A,B,Ensino Público
28.5,Solteiro(a),Nenhuma,Nenhuma,A,F,Sem Cotas
24.1,Solteiro(a),Médio,Médio,A,C,Ensino Público
41.3,Casado(a),Fundamental I,Fundamental I,A,F,Sem Cotas
35.7,Solteiro(a),Fundamental II,Fundamental I,A,B,Ensino Público
31.5,,,,,,
54.2,Solteiro(a),Fundamental II,Médio,B,B,Sem Cotas
46.4,Solteiro(a),Fundamental I,Nenhuma,B,E,Ensino Público
39.4,Solteiro(a),Fundamental II,Fundamental II,B,C,Ensino Público
37.3,Casado(a),Fundamental I,Fundamental I,C,E,Sem Cotas
19.9,Casado(a),Médio,Médio,B,F,Sem Cotas
49.0,Divorciado(a),Fundamental I,Fundamental I,B,D,Sem Cotas
25.2,Solteiro(a),Médio,Médio,C,E,Sem Cotas
28.6,Casado(a),Médio,Médio,B,F,Sem Cotas
38.5,Solteiro(a),Nenhuma,Fundamental I,B,E,Sem Cotas
27.3,Casado(a),Médio,Médio,B,F,Sem Cotas
42.3,Casado(a),Médio,Fundamental I,A,B,Sem Cotas
36.7,Solteiro(a),Nenhuma,Fundamental II,B,C,Sem Cotas
43.5,Solteiro(a),Nenhuma,Fundamental I,A,B,Sem Cotas
29.7,Solteiro(a),Fundamental I,Fundamental I,C,C,Sem Cotas
42.9,Casado(a),Fundamental I,Fundamental I,A,D,Sem Cotas
27.5,Solteiro(a),Nenhuma,Nenhuma,B,A,Ensino Público
42.7,Solteiro(a),Fundamental I,Fundamental I,C,C,Sem Cotas
32.2,Solteiro(a),Fundamental I,Fundamental II,C,B,Sem Cotas
29.5,Solteiro(a),Fundamental I,Fundamental I,A,C,Sem Cotas
45.2,Solteiro(a),Fundamental I,Médio,A,E,Ensino Público
43.7,Casado(a),Nenhuma,Fundamental II,A,E,Sem Cotas
30.2,Casado(a),Fundamental I,Médio,A,B,2 ou mais critérios
34.6,Solteiro(a),Médio,Fundamental I,A,C,Ensino Público
53.2,Solteiro(a),Fundamental I,Fundamental I,B,B,Ensino Público
48.9,Solteiro(a),Fundamental I,Fundamental I,A,E,Sem Cotas
23.8,Casado(a),Fundamental I,Médio,A,D,Sem Cotas
20.5,Casado(a),Fundamental II,Fundamental I,A,E,Sem Cotas
38.6,Solteiro(a),Superior,Fundamental I,B,E,Sem Cotas
46.4,Solteiro(a),Pós-graduação,Médio,E,D,Sem Cotas
53.3,Solteiro(a),Médio,Fundamental I,A,B,Ensino Público
47.8,Solteiro(a),Médio,Pós-graduação,C,A,Sem Cotas
50.1,Casado(a),Superior,Fundamental II,A,F,Sem Cotas
46.7,Solteiro(a),Superior,Médio,B,D,Sem Cotas
24.3,Casado(a),Nenhuma,Fundamental I,A,B,Sem Cotas
43.0,Solteiro(a),Fundamental I,Fundamental II,A,C,Ensino Público
24.3,Casado(a),Médio,Fundamental I,A,C,Sem Cotas
47.3,Casado(a),Fundamental I,Fundamental II,D,B,Sem Cotas
27.5,Solteiro(a),Nenhuma,Nenhuma,B,B,Ensino Público
36.5,Solteiro(a),Fundamental I,Pós-graduação,A,B,Sem Cotas
37.3,Solteiro(a),Fundamental I,Fundamental I,A,B,Ensino Público
39.5,Solteiro(a),Fundamental I,Fundamental I,A,B,Renda
40.9,Solteiro(a),Médio,Médio,A,D,Sem Cotas
32.4,Solteiro(a),Médio,Médio,C,C,Sem Cotas
37.7,Solteiro(a),Fundamental I,Fundamental II,B,C,Sem Cotas
48.7,Solteiro(a),Fundamental II,Fundamental II,B,C,Sem Cotas
28.8,Solteiro(a),Fundamental I,Fundamental I,A,C,Sem Cotas
17.4,Casado(a),Fundamental I,Fundamental I,A,D,Sem Cotas
19.9,Solteiro(a),Fundamental II,Fundamental I,B,B,Sem Cotas
10.5,Casado(a),Nenhuma,Fundamental I,A,F,Sem Cotas
31.1,Divorciado(a),Fundamental I,Fundamental I,A,C,Sem Cotas
41.7,Solteiro(a),Fundamental II,Médio,B,C,Sem Cotas
36.8,Solteiro(a),Nenhuma,Fundamental I,A,B,Sem Cotas
23.4,Solteiro(a),Médio,Médio,C,C,Sem Cotas
30.8,Solteiro(a),Médio,Médio,C,E,Sem Cotas
23.5,Outro,Fundamental I,Fundamental I,A,B,Sem Cotas
40.3,Solteiro(a),Nenhuma,Nenhuma,B,B,Ensino Público
33.0,Solteiro(a),Nenhuma,Fundamental I,B,E,Ensino Público
49.5,Solteiro(a),Nenhuma,Médio,B,C,Sem Cotas
37.6,Solteiro(a),Fundamental I,Fundamental II,A,B,Ensino Público
22.8,Solteiro(a),Fundamental I,Fundamental I,A,B,Sem Cotas
45.4,Solteiro(a),Nenhuma,Nenhuma,B,B,Renda
28.7,Casado(a),Fundamental II,Fundamental I,B,C,Sem Cotas
7.4,Solteiro(a),Fundamental II,Fundamental II,B,B,Sem Cotas
29.6,Solteiro(a),Fundamental I,Fundamental I,A,E,Sem Cotas
30.6,Solteiro(a),Superior,Médio,C,C,Sem Cotas
25.4,,,,,,
16.7,Casado(a),Fundamental I,Fundamental II,B,C,Sem Cotas
30.2,Casado(a),Fundamental I,Médio,B,C,Sem Cotas
23.3,Solteiro(a),Fundamental I,Fundamental I,A,B,Sem Cotas
40.2,Solteiro(a),Nenhuma,Fundamental II,A,B,Renda
56.7,Solteiro(a),Fundamental I,Fundamental I,C,D,Sem Cotas
24.8,Solteiro(a),Médio,Fundamental II,B,E,Sem Cotas
41.0,Solteiro(a),Fundamental II,Fundamental II,B,C,Sem Cotas
23.9,Casado(a),Fundamental I,Fundamental I,B,F,Ensino Público
34.9,Casado(a),Superior,Médio,B,D,Sem Cotas
31.6,Solteiro(a),Fundamental II,Nenhuma,A,E,Sem Cotas
35.1,Outro,Fundamental I,Superior,C,C,Ensino Público
23.1,Solteiro(a),Fundamental I,Fundamental I,C,B,Ensino Público
23.1,Casado(a),Médio,Fundamental I,C,E,Sem Cotas
31.3,Casado(a),Fundamental II,Fundamental II,B,F,Sem Cotas
31.4,Solteiro(a),Superior,Fundamental II,B,B,Ensino Público
23.3,Divorciado(a),Médio,Médio,A,D,Sem Cotas
22.0,Viúvo(a),Médio,Fundamental II,B,E,Ensino Público
30.6,Solteiro(a),Fundamental II,Nenhuma,B,C,Ensino Público
18.6,Casado(a),Fundamental I,Fundamental II,A,F,Sem Cotas
22.3,Outro,Fundamental II,Fundamental II,A,C,Sem Cotas
20.2,Casado(a),Fundamental I,Superior,B,C,Sem Cotas
31.7,Solteiro(a),Fundamental I,Médio,C,D,Ensino Público
39.2,,,,,,
33.2,Casado(a),Fundamental I,Fundamental I,A,F,Sem Cotas
46.1,Divorciado(a),Fundamental I,Fundamental I,B,E,Sem Cotas
35.7,,,,,,
30.5,Casado(a),Fundamental II,Fundamental I,A,F,Sem Cotas
28.6,Solteiro(a),Nenhuma,Pós-graduação,D,C,Sem Cotas
37.3,Solteiro(a),Fundamental I,Fundamental I,A,E,Sem Cotas
24.5,Casado(a),Fundamental I,Fundamental I,A,C,Renda
39.0,Solteiro(a),Pós-graduação,Médio,C,C,Sem Cotas
25.3,,,,,,
45.8,Solteiro(a),Médio,Fundamental II,B,B,Ensino Público
45.0,Solteiro(a),Médio,Fundamental II,B,C,Renda
32.6,Solteiro(a),Fundamental II,Médio,B,A,Sem Cotas
25.2,Casado(a),Fundamental II,Fundamental I,B,E,Sem Cotas
41.3,Casado(a),Nenhuma,Fundamental I,C,E,Sem Cotas
36.0,Solteiro(a),Fundamental I,Fundamental II,A,D,Sem Cotas
33.6,,,,,,
32.2,Solteiro(a),Médio,Fundamental II,A,D,Ensino Público
46.9,Solteiro(a),Fundamental I,Fundamental I,A,B,Sem Cotas
49.1,Casado(a),Nenhuma,Médio,C,F,Sem Cotas
20.8,Solteiro(a),Fundamental II,Fundamental II,A,C,Sem Cotas
29.5,Solteiro(a),Fundamental II,Fundamental I,B,B,Sem Cotas
75.0,Solteiro(a),Fundamental I,Fundamental I,A,B,Sem Cotas
26.8,Solteiro(a),Fundamental I,Médio,B,C,Sem Cotas
32.6,Solteiro(a),Fundamental I,Fundamental I,A,B,Sem Cotas
36.9,Solteiro(a),Médio,Fundamental II,A,C,Sem Cotas
17.8,Solteiro(a),Fundamental I,Fundamental II,A,E,Sem Cotas
21.4,Solteiro(a),Médio,Médio,B,E,Sem Cotas
33.0,Solteiro(a),Fundamental I,Nenhuma,B,A,Ensino Público
27.4,Solteiro(a),Fundamental I,Fundamental I,B,B,Ensino Público
25.1,Casado(a),Fundamental I,Fundamental I,A,E,Ensino Público
39.7,Solteiro(a),Médio,Superior,B,B,Sem Cotas
20.2,Casado(a),Nenhuma,Nenhuma,A,F,Sem Cotas
48.6,Casado(a),Médio,Fundamental II,A,D,Étnico-racial
25.5,Casado(a),Fundamental I,Fundamental I,A,F,Sem Cotas
28.1,Solteiro(a),Superior,Fundamental I,B,B,Sem Cotas
38.8,Solteiro(a),Fundamental I,Fundamental I,A,D,Sem Cotas
26.9,,,,,,
38.0,Solteiro(a),Fundamental II,Fundamental I,A,B,Sem Cotas
20.5,Solteiro(a),Fundamental I,Fundamental I,A,B,Sem Cotas
27.3,Solteiro(a),Fundamental I,Pós-graduação,A,C,Sem Cotas
27.0,Solteiro(a),Fundamental I,Fundamental I,A,B,Renda
33.2,Solteiro(a),Superior,Pós-graduação,C,C,Sem Cotas
47.6,Solteiro(a),Fundamental I,Médio,B,C,Sem Cotas
50.4,Solteiro(a),Fundamental I,Superior,A,B,2 ou mais critérios
54.2,Solteiro(a),Fundamental I,Fundamental II,A,B,Ensino Público
45.4,Solteiro(a),Fundamental I,Fundamental I,A,B,2 ou mais critérios
30.5,Solteiro(a),Fundamental II,Médio,A,E,Sem Cotas
41.4,Solteiro(a),Fundamental II,Médio,B,C,Sem Cotas
50.2,Solteiro(a),Fundamental I,Fundamental II,B,B,Ensino Público
47.8,Solteiro(a),Nenhuma,Fundamental I,A,B,Ensino Público
62.4,Outro,Fundamental I,Médio,C,F,Sem Cotas
50.0,Solteiro(a),Fundamental I,Fundamental II,B,B,Sem Cotas
27.9,Solteiro(a),Superior,Fundamental II,B,C,Sem Cotas
37.9,Solteiro(a),Médio,Superior,C,C,Étnico-racial
76.1,Solteiro(a),Superior,Médio,C,C,Ensino Público
41.9,Casado(a),Fundamental I,Fundamental I,A,B,Sem Cotas
50.7,Solteiro(a),Fundamental I,Fundamental II,A,C,Ensino Público
31.9,Solteiro(a),Superior,Médio,A,C,Sem Cotas
22.9,Solteiro(a),Médio,Superior,C,C,Sem Cotas
36.5,Solteiro(a),Fundamental I,Médio,A,B,Sem Cotas
64.4,Solteiro(a),Fundamental I,Fundamental II,B,C,2 ou mais critérios
60.9,Solteiro(a),Superior,Superior,C,B,Sem Cotas
21.4,Solteiro(a),Médio,Médio,A,B,Sem Cotas
56.9,Casado(a),Fundamental I,Fundamental I,A,B,Sem Cotas
53.0,Outro,Fundamental I,Fundamental I,A,C,Ensino Público
38.9,Casado(a),Pós-graduação,Pós-graduação,A,E,Sem Cotas
29.3,Solteiro(a),Fundamental I,Médio,C,D,Sem Cotas
27.5,Solteiro(a),Fundamental I,Fundamental I,C,B,Sem Cotas
67.1,Solteiro(a),Fundamental I,Fundamental I,B,B,Sem Cotas
34.2,Solteiro(a),Fundamental I,Superior,A,C,Ensino Público
36.8,Casado(a),Médio,Médio,B,E,Ensino Público
35.3,Casado(a),Médio,Médio,A,B,Sem Cotas
54.1,Solteiro(a),Médio,Médio,A,C,Ensino Público
31.3,Solteiro(a),Fundamental II,Fundamental II,B,C,Ensino Público
50.9,Solteiro(a),Superior,Fundamental II,A,F,Sem Cotas
62.5,Solteiro(a),Pós-graduação,Médio,A,B,Sem Cotas
54.8,Solteiro(a),Médio,Pós-graduação,F,C,Sem Cotas
52.3,Outro,Médio,Médio,B,C,Ensino Público
45.9,Solteiro(a),Fundamental I,Pós-graduação,C,B,Sem Cotas
41.8,Solteiro(a),Pós-graduação,Pós-graduação,C,C,Sem Cotas
41.7,Solteiro(a),Fundamental II,Médio,A,C,Ensino Público
41.5,Outro,Médio,Médio,B,A,2 ou mais critérios
59.8,Solteiro(a),Fundamental I,Fundamental I,C,B,Sem Cotas
21.2,Solteiro(a),Médio,Fundamental I,B,A,Sem Cotas
46.4,Solteiro(a),Médio,Médio,A,C,Ensino Público
55.6,Solteiro(a),Médio,Médio,B,A,Ensino Público
31.4,Solteiro(a),Fundamental II,Fundamental II,B,C,Ensino Público
43.9,Casado(a),Médio,Nenhuma,A,C,Ensino Público
81.0,Solteiro(a),Médio,Médio,D,B,Sem Cotas
55.6,Solteiro(a),Superior,Médio,A,B,2 ou mais critérios
61.6,Solteiro(a),Médio,Superior,C,C,Sem Cotas
66.7,Casado(a),Fundamental I,Médio,A,C,Ensino Público
30.8,Solteiro(a),Médio,Superior,A,B,Sem Cotas
28.1,Solteiro(a),Fundamental I,Fundamental II,A,A,2 ou mais critérios
63.9,Solteiro(a),Superior,Superior,C,B,Ensino Público
19.8,Casado(a),Nenhuma,Fundamental I,B,E,Sem Cotas
50.2,Casado(a),Fundamental II,Fundamental II,A,E,Sim - ?
42.2,Casado(a),Fundamental II,Fundamental I,E,E,Sem Cotas
30.1,Solteiro(a),Nenhuma,Fundamental I,C,E,Sem Cotas
20.4,Divorciado(a),Nenhuma,Nenhuma,B,F,Sem Cotas
46.1,Casado(a),Nenhuma,Fundamental I,A,C,Sim - ?
48.2,Casado(a),Pós-graduação,Fundamental I,B,E,Sim - ?
47.9,Casado(a),Fundamental I,Médio,B,C,Sem Cotas
42.4,Casado(a),Médio,Médio,B,F,Sim - ?
27.8,Casado(a),Fundamental I,Fundamental I,E,D,Sem Cotas
44.0,Solteiro(a),Nenhuma,Fundamental I,A,F,Sem Cotas
30.0,Divorciado(a),Fundamental I,Médio,B,E,Sem Cotas
48.2,Solteiro(a),Nenhuma,Fundamental I,B,F,Sem Cotas
45.5,Casado(a),Nenhuma,Nenhuma,C,F,Sem Cotas
32.8,Divorciado(a),Médio,Médio,B,C,Sim - ?
29.8,Casado(a),Médio,Fundamental I,C,F,Sim - ?
29.4,Casado(a),Fundamental I,Médio,A,E,Sem Cotas
32.2,Casado(a),Nenhuma,Médio,A,F,Sim - ?
39.6,Casado(a),Superior,Médio,C,F,Sem Cotas
40.2,Casado(a),Fundamental I,Fundamental I,B,F,Sem Cotas
19.7,Solteiro(a),Fundamental I,Fundamental I,B,E,Étnico-racial
26.1,Solteiro(a),Médio,Fundamental II,E,D,Sem Cotas
5.9,Casado(a),Nenhuma,Nenhuma,C,E,Sem Cotas
29.9,Casado(a),Fundamental I,Fundamental I,B,D,Sem Cotas
33.3,Casado(a),Fundamental I,Fundamental I,B,C,Sim - ?
35.7,Casado(a),Fundamental I,Fundamental I,A,C,Sim - ?
52.1,Solteiro(a),Nenhuma,Nenhuma,A,B,Sem Cotas
42.6,Casado(a),Médio,Fundamental I,D,E,2 ou mais critérios
40.7,Casado(a),Médio,Médio,C,E,Sem Cotas
23.9,Casado(a),Fundamental II,Fundamental II,A,F,Sem Cotas
37.4,Outro,Nenhuma,Fundamental I,B,C,Sem Cotas
56.1,Solteiro(a),Fundamental I,Médio,B,F,Sem Cotas
51.2,Casado(a),Pós-graduação,Médio,C,F,Sim - ?
43.9,Casado(a),Nenhuma,Fundamental II,B,E,Sem Cotas
47.2,Outro,Nenhuma,Nenhuma,A,E,Sim - ?
52.6,Casado(a),Fundamental I,Fundamental I,B,C,2 ou mais critérios
27.1,Solteiro(a),Fundamental I,Fundamental I,A,F,Sim - ?
19.7,Casado(a),Fundamental I,Fundamental I,C,F,Sem Cotas
35.0,Casado(a),Fundamental I,Fundamental II,A,B,Sim - ?
39.1,Casado(a),Fundamental I,Médio,B,E,Sem Cotas
47.2,Outro,Fundamental I,Fundamental I,A,B,Sim - ?
49.2,Solteiro(a),Fundamental II,Superior,C,C,Sem Cotas
38.3,Casado(a),Fundamental I,Pós-graduação,B,E,Sem Cotas
44.9,Casado(a),Fundamental I,Médio,C,E,Sim - ?
38.3,Casado(a),Nenhuma,Nenhuma,C,F,Sim - ?
48.2,Solteiro(a),Nenhuma,Fundamental I,A,F,Sim - ?
42.2,Outro,Fundamental I,Fundamental I,C,C,Sem Cotas
49.6,Casado(a),Médio,Pós-graduação,E,F,Sim - ?
57.1,Casado(a),Fundamental II,Superior,D,E,Ensino Público
23.8,Casado(a),Fundamental I,Fundamental I,B,E,Sem Cotas
34.7,Solteiro(a),Pós-graduação,Fundamental I,B,F,Sem Cotas
30.7,Solteiro(a),Nenhuma,Fundamental I,A,E,Sim - ?
63.9,Casado(a),Nenhuma,Nenhuma,B,D,Sim - ?
34.9,Viúvo(a),Fundamental I,Nenhuma,A,F,Sim - ?
43.4,Solteiro(a),Fundamental I,Médio,A,B,Sem Cotas
20.2,Solteiro(a),Superior,Fundamental I,A,E,Sem Cotas
21.3,Solteiro(a),Médio,Médio,A,C,Sem Cotas
26.5,Solteiro(a),Médio,Pós-graduação,B,C,Sim - ?
56.6,Solteiro(a),Fundamental II,Médio,C,F,Sim - ?
26.7,Solteiro(a),Fundamental I,Fundamental II,B,C,Sem Cotas
37.7,Divorciado(a),Fundamental II,Fundamental II,C,D,Sim - ?
37.8,Solteiro(a),Nenhuma,Fundamental I,B,C,Sem Cotas
18.1,Casado(a),Fundamental I,Fundamental II,B,E,Sim - ?
26.8,Solteiro(a),Nenhuma,Fundamental I,C,D,Sem Cotas
69.9,Solteiro(a),Fundamental I,Fundamental I,B,E,Sim - ?
45.7,Outro,Fundamental I,Fundamental I,C,F,Sim - ?
64.6,Casado(a),Fundamental II,Pós-graduação,E,F,Sem Cotas
58.1,Casado(a),Fundamental I,Médio,D,E,Sim - ?
36.8,Casado(a),Fundamental I,Fundamental I,B,F,Sem Cotas
41.9,Casado(a),Nenhuma,Fundamental I,C,F,Sem Cotas
16.7,Casado(a),Fundamental I,Fundamental I,B,F,Sim - ?
49.1,Outro,Fundamental II,Médio,B,E,Sem Cotas
39.8,Casado(a),Nenhuma,Fundamental I,A,B,2 ou mais critérios
14.7,Divorciado(a),Fundamental I,Fundamental I,A,F,Sim - ?
49.6,Solteiro(a),Fundamental I,Fundamental II,B,C,Sem Cotas
55.8,Casado(a),Fundamental I,Fundamental II,A,B,Sem Cotas
59.5,Solteiro(a),Nenhuma,Pós-graduação,A,B,Sem Cotas
32.9,Solteiro(a),Superior,Fundamental II,A,B,Sem Cotas
28.1,Solteiro(a),Fundamental I,Médio,B,C,Ensino Público
46.1,Solteiro(a),Fundamental I,Fundamental II,C,D,Sem Cotas
56.7,,,,,,
43.3,Solteiro(a),Superior,Médio,B,B,Sem Cotas
54.9,Solteiro(a),Fundamental II,Pós-graduação,B,C,Ensino Público
59.5,Solteiro(a),Fundamental I,Fundamental I,A,C,Ensino Público
50.5,Casado(a),Fundamental I,Médio,B,F,Sem Cotas
40.1,Solteiro(a),Fundamental I,Fundamental II,A,B,Sem Cotas
19.7,Solteiro(a),Fundamental II,Médio,B,B,Ensino Público
55.9,Solteiro(a),Fundamental II,Fundamental II,G,D,Sem Cotas
16.2,Solteiro(a),Fundamental I,Fundamental I,B,C,Sem Cotas
60.5,Casado(a),Nenhuma,Nenhuma,C,B,Ensino Público
51.7,Solteiro(a),Fundamental II,Médio,A,B,Sem Cotas
29.8,Solteiro(a),Fundamental I,Fundamental II,A,A,Sem Cotas
44.1,Solteiro(a),Fundamental I,Fundamental I,A,B,Ensino Público
56.9,Casado(a),Fundamental I,Fundamental I,A,B,Sem Cotas
56.7,Solteiro(a),Médio,Médio,B,E,Sem Cotas
63.2,Solteiro(a),Superior,Superior,B,B,Sem Cotas
58.8,Solteiro(a),Fundamental I,Fundamental I,B,A,Sem Cotas
45.4,Solteiro(a),Fundamental I,Fundamental II,A,D,Ensino Público
44.3,Solteiro(a),Fundamental I,Fundamental I,B,E,Ensino Público
45.2,Solteiro(a),Fundamental I,Fundamental I,B,C,Ensino Público
58.2,Solteiro(a),Médio,Médio,B,E,Ensino Público
67.1,Solteiro(a),Médio,Fundamental I,A,A,Sem Cotas
56.6,Casado(a),Fundamental II,Fundamental I,B,E,Ensino Público
56.7,Solteiro(a),Nenhuma,Fundamental I,B,E,Ensino Público
29.3,Solteiro(a),Fundamental I,Fundamental II,A,B,Sem Cotas
